sort_order,category,code,name,piggyback_partners,piggyback_unresolved,piggyback_note,notes
1,Filters,EAF-001,Engine Air Filter,TBC-044,,,
2,Filters,CAF-002,Cabin Air Filter,"ACR-047,ACE-053",,,
3,Filters,FF-003,Fuel Filter,"FSC-017,FIC-045",,,
4,Filters,TRF-004,Transmission Filter,TRF-011,,,
5,Filters,DFF-005,Differential Filter,DFF-014,,,
6,Filters,PCV-006,PCV Valve,EAF-001,,,
7,Filters,BRF-007,Breather Filter,PCV-006,,,
8,Filters,OF-008,Oil Filter,EFL-046,,,
9,Fluids,OIL-009,Engine Oil Service,OF-008,,,
10,Fluid Exchanges,CLF-010,Coolant Flush,"CLH-042,WTP-040",,,
11,Fluid Exchanges,TRF-011,Transmission Fluid,TRF-004,,,
12,Brakes,BFF-012,Brake Fluid Flush,"BPF-028,BFF-013",,,
13,Fluid Exchanges,PSF-013,Power Steering Fluid,,,,
14,Fluid Exchanges,DFF-014,Differential Fluid,DFF-005,,,
15,Fluid Exchanges,TCF-015,Transfer Case Fluid,,,,
16,Fluid Exchanges,WWF-016,Washer Fluid Top-Off,WBF-018,,,
17,Fluid Exchanges,FSC-017,Fuel System Cleaner,"EAF-001,SPK-043",,,
18,Wipers,WBF-018,Front Wiper Blades,WTR-021,,,
19,Wipers,WBR-019,Rear Wiper Blade,,WTR-022,,
20,Wipers,WBI-020,Wiper Inserts,,WTR-023,,
21,Wipers,WTR-021,Windshield Treatment,WBF-018,"WBF-019,WBF-020",,
22,Tires,TRO-022,Tire Rotation,TBL-023,,,
23,Tires,TBL-023,Tire Balance,ALN-024,,,
24,Tires,ALN-024,Wheel Alignment,,,,
25,Tires,NIT-025,Nitrogen Inflation,TRO-022,,,
26,Tires,TPS-026,TPMS Service,TRO-022,,,
27,Tires,TSL-027,Tire Sealant,TRO-022,,,
28,Brakes,BPF-028,Brake Pads Front,"RTF-030,BFF-012,BFF-013",,,
29,Brakes,BPR-029,Brake Pads Rear,"RTR-031,BFF-012,BFF-013",,,
30,Brakes,RTF-030,Rotors Front,"BPF-028,BFF-013",,,
31,Brakes,RTR-031,Rotors Rear,"BPR-029,BFF-013",,,
32,Brakes,BCS-032,Caliper Service,BPF-028,,,
33,Battery & Electrical,BAT-033,Battery Replacement,BTS-034,,,
34,Battery & Electrical,BTS-034,Battery Terminal Service,BAT-033,,,
35,Battery & Electrical,BTT-035,Battery Test,,,,
36,Battery & Electrical,ATT-036,Alternator Test,BTT-035,,,
37,Battery & Electrical,BLB-037,Bulb Replacement,HLR-049,,,
38,Belts & Hoses,SRP-038,Serpentine Belt,IDP-041,,,
39,Belts & Hoses,TMB-039,Timing Belt,WTP-040,,,
40,Belts & Hoses,WTP-040,Water Pump,"CLF-010,TMB-039",,,
41,Belts & Hoses,IDP-041,Idler Pulley,SRP-038,,,
42,Belts & Hoses,CLH-042,Coolant Hoses,CLF-010,,,
43,Engine & Performance,SPK-043,Spark Plugs,FSC-017,,,
44,Engine & Performance,TBC-044,Throttle Body Clean,FSC-017,,,
45,Engine & Performance,FIC-045,Fuel Injector Clean,FSC-017,,,
46,Engine & Performance,EFL-046,Engine Flush,OF-008,,,
47,Engine & Performance,ACR-047,AC Recharge,"CAF-002,ACE-053,ABT-054",,,
48,Engine & Performance,ACS-048,AC System Check,"ACR-047,ACE-053,ABT-054",,,
49,Engine & Performance,HLR-049,Headlight Restoration,BLB-037,,,
50,Engine & Performance,TPS-050,Tire Pressure Check,TPS-026,,,
51,EV / Hybrid,CPC-051,Charge Port Cleaner,,,EV/Hybrid charge port maintenance MOC PN 1097,
52,EV / Hybrid,RDD-052,Rodent Deterrent,,,EV/Hybrid rodent deterrent MOC Banish PN 0160,
53,Menus,MNU-001,Oil Change Menu — Basic,"OF-008,TRO-022",,,
54,Menus,MNU-002,Oil Change Menu — Preferred,"OF-008,TRO-022,TBL-023",,,
55,Menus,MNU-003,Oil Change Menu — Premium,"OF-008,TRO-022,TBL-023,CAF-002",,,
56,Menus,MNU-004,Tire & Brake Menu,"TRO-022,TBL-023,BPF-028",,,
57,Menus,MNU-005,Engine Performance Menu,"SPK-043,TBC-044,FIC-045,FSC-017",,,
58,Menus,MNU-006,Cooling System Menu,"CLF-010,WTP-040,CLH-042",,,
59,Menus,MNU-007,AC Service Menu,"ACR-047,CAF-002,ACS-048,ACE-053,ABT-054",,,
60,Menus,MNU-008,Transmission Service Menu,"TRF-011,TRF-004",,,
61,Menus,MNU-009,Seasonal Prep — Winter,"BAT-033,WBF-018,TRO-022",,,
62,Menus,MNU-010,Seasonal Prep — Summer,"ACR-047,CAF-002,TPS-050",,,
63,Menus,MNU-011,High Mileage Menu,"EFL-046,SPK-043,TRF-011,CLF-010",,,
64,Engine & Performance,ACE-053,AC Evaporator Cleaning,"ACR-047,ABT-054,CAF-002",,,"MOC: Evaporator Core Cleaner #1052, Fresh A/C #10507, Odor-B-Gone #0650/#0651"
65,Engine & Performance,ABT-054,Arctic Blast,"ACR-047,ACE-053,CAF-002",,,MOC #0620 · Beat the Heat program · AC EVAP combo = 30K-mile compressor warranty · Replaces MNU-005 references
66,Brakes,BFF-013,Brake Quiet,"BPF-028,BPR-029,RTF-030,RTR-031,BFF-012",,,Silent Brake Kit — applied during brake jobs. Per Mitch Elite cue: pads + rotors + caliper service + brake fluid + brake quiet = the complete brake job. RESTORED from v4 — was in coaching tabs but missing from canonical Op Code List.
67,Suspension,SUS-058,Suspension Service,,"TIR-022,TRO-024",,Doggett NEW 8/17 · $435K labor · 693 RO lines · 11 stores · no cues yet
68,Engine & Performance,DPF-059,Diesel Particulate Filter Service,"FIC-045,DFF-005",,,Doggett NEW 8/17 · $133K labor · 297 RO lines · 11 stores · no cues yet
69,Accessories,ACC-060,Accessories,"WBF-018,HLR-049",,,Doggett NEW 8/17 · $25K labor · 183 RO lines · 11 stores · no cues yet
70,Inspection,MPI-061,Multi-Point Inspection,,,All op codes,Doggett NEW 8/17 · $15K labor · 132 RO lines · 8 stores · no cues yet
71,Inspection,UCI-062,Used Car Inspection,MPI-061,,,Doggett NEW 8/17 · $14K labor · 50 RO lines · 9 stores · no cues yet
72,Fluids,OAD-063,Oil Additive,"OIL-009,EFL-046",,,Doggett NEW 8/17 · $7K labor · 366 RO lines · 7 stores · no cues yet
73,EV / Hybrid,HYB-064,Hybrid / EV Maintenance,"CLF-010,ACR-047",,,Doggett NEW 8/17 · 13 RO lines · 5 stores · no cues yet
