drive_title,action,rename_to,deck,stage,identified_by,confidence,reason
"IMG_2161.MOV","rename","FND — Pre-Write — v1.MOV","Pre-Write","","declared","high",""
"IMG_2162.MOV","rename","EAF-001 — On the Drive — v1.MOV","Engine Air Filter","On the Drive","declared","medium",""
"IMG_2164.MOV","rename","EAF-001 — At the Kiosk — v1.MOV","Engine Air Filter","At the Kiosk","declared","medium",""
"IMG_2165.MOV","hold","","Engine Air Filter","MPI Setup","declared","medium","hold — take, suggested spare"
"IMG_2166.MOV","rename","EAF-001 — MPI Selling — v1.MOV","Engine Air Filter","MPI Selling","declared","medium",""
"IMG_2167.MOV","rename","FND — Wrap-Up — v1.MOV","Wrap-Up","","declared","medium",""
"IMG_2169.MOV","rename","BFF-012 — On the Drive — v1.MOV","Brake Fluid Exchange","On the Drive","declared","medium",""
"IMG_2172.MOV","rename","BFF-012 — At the Kiosk — v1.MOV","Brake Fluid Exchange","At the Kiosk","declared","medium",""
"IMG_2173.MOV","rename","BFF-012 — MPI Setup — v1.MOV","Brake Fluid Exchange","MPI Setup","declared","medium",""
"IMG_2174.MOV","hold","","","","","none","hold — stage is ambiguous between MPI Setup and MPI Selling"
"IMG_2176.MOV","rename","CLF-010 — On the Drive — v1.MOV","Coolant Exchange","On the Drive","declared","high",""
"IMG_2177.MOV","rename","CLF-010 — At the Kiosk — v1.MOV","Coolant Exchange","At the Kiosk","declared","medium",""
"IMG_2179.MOV","hold","","Coolant Exchange","MPI Setup","declared","medium","hold — take, suggested keeper"
"IMG_2180.MOV","rename","CLF-010 — MPI Selling — v1.MOV","Coolant Exchange","MPI Selling","declared","medium",""
"IMG_2182.MOV","rename","DFF-014 — On the Drive — v1.MOV","Differential Fluid Exchange","On the Drive","declared","medium",""
"IMG_2183.MOV","rename","DFF-014 — At the Kiosk — v1.MOV","Differential Fluid Exchange","At the Kiosk","declared","medium",""
"IMG_2185.MOV","rename","DFF-014 — MPI Setup — v1.MOV","Differential Fluid Exchange","MPI Setup","declared","high",""
"IMG_2186.MOV","rename","DFF-014 — MPI Selling — v1.MOV","Differential Fluid Exchange","MPI Selling","declared","medium",""
"IMG_2188.MOV","rename","PSF-013 — On the Drive — v1.MOV","Power Steering Fluid Exchange","On the Drive","declared","medium",""
"IMG_2190.MOV","rename","PSF-013 — At the Kiosk — v1.MOV","Power Steering Fluid Exchange","At the Kiosk","declared","medium",""
"IMG_2193.MOV","rename","PSF-013 — MPI Setup — v1.MOV","Power Steering Fluid Exchange","MPI Setup","declared","medium",""
"IMG_2194.MOV","rename","PSF-013 — MPI Selling — v1.MOV","Power Steering Fluid Exchange","MPI Selling","declared","medium",""
"IMG_2195.MOV","rename","TRF-011 — On the Drive — v1.MOV","Transmission Fluid Exchange","On the Drive","declared","medium",""
"IMG_2197.MOV","rename","TRF-011 — At the Kiosk — v1.MOV","Transmission Fluid Exchange","At the Kiosk","declared","medium",""
"IMG_2200.MOV","rename","TRF-011 — MPI Setup — v1.MOV","Transmission Fluid Exchange","MPI Setup","declared","medium",""
"IMG_2203.MOV","rename","TRF-011 — MPI Selling — v1.MOV","Transmission Fluid Exchange","MPI Selling","declared","medium",""
"IMG_2204.MOV","rename","CAF-002 — On the Drive — v1.MOV","Cabin Air Filter","On the Drive","declared","medium",""
"IMG_2205.MOV","rename","CAF-002 — At the Kiosk — v1.MOV","Cabin Air Filter","At the Kiosk","declared","medium",""
"IMG_2206.MOV","rename","CAF-002 — MPI Setup — v1.MOV","Cabin Air Filter","MPI Setup","declared","medium",""
"IMG_2208.MOV","rename","CAF-002 — MPI Selling — v1.MOV","Cabin Air Filter","MPI Selling","declared","medium",""
"IMG_2209.MOV","rename","ACO-055 — On the Drive — v1.MOV","A/C Odor Treatment","On the Drive","declared","high",""
"IMG_2210.MOV","rename","ACO-055 — At the Kiosk — v1.MOV","A/C Odor Treatment","At the Kiosk","declared","medium",""
"IMG_2211.MOV","rename","ACO-055 — MPI Setup — v1.MOV","A/C Odor Treatment","MPI Setup","declared","high",""
"IMG_2238.MOV","rename","ACR-047 — On the Drive — v1.MOV","A/C Recharge","On the Drive","declared","high",""
"IMG_2240.MOV","rename","ACR-047 — Part 2 — v1.MOV","A/C Recharge","Part 2","declared","high",""
"IMG_2241.MOV","hold","","","","","none","hold — speaks to Ryan about an edit and says it is meant as part three — held until somebody says which film it joins"
"IMG_2242.MOV","rename","ACR-047 — At the Kiosk — v1.MOV","A/C Recharge","At the Kiosk","declared","high",""
"IMG_2244.MOV","rename","ACR-047 — MPI Selling — v1.MOV","A/C Recharge","MPI Selling","declared","high",""
"IMG_2246.MOV","hold","","Sing It","","declared","medium","hold — two films proposed for this same name; one is misread"
"IMG_2247.MOV","rename","FND — The Big Ticket Visit — v1.MOV","The Big Ticket Visit","","declared","high",""
"IMG_2249.MOV","rename","FND — The Big Ticket Visit, Part 2 — v1.MOV","The Big Ticket Visit","Part 2","ruled","medium",""
"IMG_2250.MOV","rename","ABT-054 — On the Drive — v1.MOV","ARCTIC BLAST","On the Drive","teleprompter","high",""
"IMG_2253.MOV","rename","ABT-054 — At the Kiosk — v1.MOV","Arctic Blast","At the Kiosk","declared","high",""
"IMG_2257.MOV","rename","ABT-054 — MPI Setup — v1.MOV","Arctic Blast","MPI Setup","declared","high",""
"IMG_2261.MOV","rename","WBF-018 — At the Kiosk — v1.MOV","WIPER BLADES","At the Kiosk","teleprompter","high",""
"IMG_2265.MOV","rename","WBF-018 — MPI Selling — v1.MOV","Wiper Blades","MPI Selling","declared","high",""
"IMG_2266.MOV","rename","SRP-038 — On the Drive — v1.MOV","SERPENTINE BELT","On the Drive","teleprompter","high",""
"IMG_2268.MOV","rename","SRP-038 — At the Kiosk — v1.MOV","SERPENTINE BELT","At the Kiosk","teleprompter","high",""
"IMG_2269.MOV","rename","SRP-038 — MPI Setup — v1.MOV","Serpentine Belt","MPI Setup","declared","medium",""
"IMG_2271.MOV","rename","SRP-038 — MPI Selling — v1.MOV","Serpentine Belt","MPI Selling","declared","medium",""
"IMG_2275.MOV","rename","CLH-042 — On the Drive — v1.MOV","COOLANT HOSES","On the Drive","teleprompter","high",""
"IMG_2276.MOV","rename","CLH-042 — At the Kiosk — v1.MOV","Coolant Hoses","At the Kiosk","declared","high",""
"IMG_2277.MOV","rename","CLH-042 — MPI Setup — v1.MOV","Coolant Hoses","MPI Setup","declared","high",""
"IMG_2278.MOV","rename","CLH-042 — MPI Selling — v1.MOV","Coolant Hoses","MPI Selling","declared","high",""
"IMG_2279.MOV","rename","TMB-039 — On the Drive — v1.MOV","TIMING BELT","On the Drive","teleprompter","high",""
"IMG_2280.MOV","rename","TMB-039 — At the Kiosk — v1.MOV","TIMING BELT","At the Kiosk","teleprompter","high",""
"IMG_2282.MOV","hold","","Timing Belt","MPI Setup","declared","medium","hold — two films proposed for this same name; one is misread"
"IMG_2285.MOV","hold","","Timing Belt","MPI Setup","declared","medium","hold — two films proposed for this same name; one is misread"
"IMG_2286.MOV","hold","","","","","none","hold — no stage language matched"
"IMG_2287.MOV","hold","","","","","none","hold — no stage language matched"
"IMG_2289.MOV","hold","","","","","none","hold — no stage language matched"
"IMG_2290.MOV","hold","","","","","none","hold — no stage language matched"
"IMG_2291.MOV","hold","","","","","none","hold — no deck vocabulary matched"
"IMG_2292.MOV","hold","","","","","none","hold — no deck vocabulary matched"
"IMG_2294.MOV","rename","FND — Selling speech — v1.MOV","Selling speech","","declared","medium",""
"IMG_2297.MOV","hold","","","","","none","hold — no stage language matched"
"IMG_2299.MOV","hold","","","","","none","hold — deck is ambiguous between Wiper Blades and Brake Fluid Exchange"
"IMG_2300.MOV","hold","","Sing It","","declared","medium","hold — two films proposed for this same name; one is misread"
"IMG_2301.MOV","hold","","","","","none","hold — no deck vocabulary matched"
"IMG_2302.MOV","hold","","","","","none","hold — no stage language matched"
"IMG_2305.MOV","hold","","","","","none","hold — no stage language matched"
