file,action,alohaAt,slateTitle,voice,renameTo,matchTitle,matchFile,score,runnerUp,runnerUpScore,note
"IMG_2447 (1).MOV","reshoot","7.62","Have patience with yourself","Author unknown","MINDSET — Have Patience with Yourself (Author unknown) — v2.mov","Have Patience with Yourself","MINDSET — Have Patience with Yourself (Author unknown) — v1.mov","1","","",""
"IMG_2485.MOV","new","6.72","Ideas, Events, People","Henry Thomas Buckle","MINDSET — Ideas, Events, People (Henry Thomas Buckle) — v1.mov","","","0.47","","",""
"IMG_2486.MOV","new","5.66","Problems or solutions","Eric Thomas","MINDSET — Problems or Solutions (Eric Thomas) — v1.mov","","","0.41","","",""
"IMG_2489.MOV","new","5.06","More life","author unknown","MINDSET — More Life (author unknown) — v1.mov","","","0","","",""
"IMG_2491.MOV","new","5.26","The four F's","Author Unknown","MINDSET — The Four F's (Author Unknown) — v1.mov","","","0","","",""
"IMG_2492.MOV","new","7.82","I'd rather be tired than wondering","Cole Campbell","MINDSET — I'd Rather Be Tired Than Wondering (Cole Campbell) — v1.mov","","","0.47","","",""
"IMG_2494.MOV","review","3.92","You cannot lose","demon","","Four Things You Can Stop Doing","MINDSET — Four Things You Can Stop Doing — v2.mov","0.58","","","close to an existing film but not convincing — rule on it"
"IMG_2496.MOV","reshoot","5.36","Knock down, not out","Les Brown","MINDSET — You Don't Lose When You Get Knocked Down — v3.mov","You Don't Lose When You Get Knocked Down","MINDSET — You Don't Lose When You Get Knocked Down — v2.mov","0.78","","",""
"IMG_2498.MOV","reshoot","4.54","Rule number one","Warren Buffett","MINDSET — Never Lose Money (Buffett) — v2.mov","Never Lose Money","MINDSET — Never Lose Money (Buffett) — v1.mov","0.84","","",""
"IMG_2499.MOV","reshoot","4.38","Reputation","Warren Buffett","MINDSET — 20 Years to Build a Reputation (Buffett) — v2.mov","20 Years to Build a Reputation","MINDSET — 20 Years to Build a Reputation (Buffett) — v1.mov","0.95","","",""
"IMG_2500.MOV","reshoot","5.48","The difference between people","Warren Buffett","MINDSET — Successful vs. Really Successful (Buffett) — v2.mov","Successful vs. Really Successful","MINDSET — Successful vs. Really Successful (Buffett) — v1.mov","0.86","","",""
"IMG_2501.MOV","reshoot","5.24","Holding period","Warren Buffett","MINDSET — Owning Portions of Businesses (Buffett) — v2.mov","Owning Portions of Businesses","MINDSET — Owning Portions of Businesses (Buffett) — v1.mov","0.95","","",""
"IMG_2502.MOV","reshoot","6.24","Hang out with people better than you","Warren Buffett","MINDSET — Hang With People Better Than You (Buffett) — v2.mov","Hang With People Better Than You","MINDSET — Hang With People Better Than You (Buffett) — v1.mov","0.95","","",""
"IMG_2504.MOV","reshoot","4.98","Avoiding Problems","Warren Buffett","MINDSET — Solving Difficult Problems (Buffett) — v2.mov","Solving Difficult Problems","MINDSET — Solving Difficult Problems (Buffett) — v1.mov","0.63","","",""
"IMG_2505.MOV","reshoot","6.9","Rolls Royce and the Subway","Warren Buffett","MINDSET — Wall Street (Buffett) — v2.mov","Wall Street","MINDSET — Wall Street (Buffett) — v1.mov","0.95","","",""
"IMG_2507.MOV","reshoot","5.66","Diversification","Warren Buffett","MINDSET — Diversification & Ignorance (Buffett) — v2.mov","Diversification & Ignorance","MINDSET — Diversification & Ignorance (Buffett) — v1.mov","0.95","","",""
"IMG_2508.MOV","reshoot","4.52","Greedy","Warren Buffett","MINDSET — Fearful When Others Are Greedy (Buffett) — v2.mov","Fearful When Others Are Greedy","MINDSET — Fearful When Others Are Greedy (Buffett) — v1.mov","0.95","","",""
"IMG_2509.MOV","reshoot","5.56","Develop habits","Warren Buffett","MINDSET — Build the Habits You Admire (Buffett) — v2.mov","Build the Habits You Admire","MINDSET — Build the Habits You Admire (Buffett) — v1.mov","0.95","","",""
"IMG_2512.MOV","reshoot","6.3","The Man in the Glass","Peter Dale Wimbrough Sr","MINDSET — The Man in the Glass — v2.mov","The Man in the Glass","MINDSET — The Man in the Glass — v1.mov","1","","",""
