file,line,tag,hasHover,hasFocusRing,hasDisabledStyle,optedOutOfPress
"app/(app)/admin/content/page.tsx",173,Link,True,True,False,False
"app/(app)/admin/content/page.tsx",213,Link,True,True,False,False
"app/(app)/admin/content/page.tsx",237,Link,True,True,False,False
"app/(app)/admin/content/page.tsx",261,Link,True,True,False,False
"app/(app)/admin/content/page.tsx",274,Link,True,True,False,False
"app/(app)/admin/content/search/page.tsx",128,Link,True,True,False,False
"app/(app)/admin/content/search/page.tsx",144,Link,True,True,False,False
"app/(app)/admin/content/service/[service]/page.tsx",102,Link,True,True,False,False
"app/(app)/admin/content/service/[service]/page.tsx",207,Link,True,True,False,False
"app/(app)/admin/dms/page.tsx",111,Link,True,False,False,False
"app/(app)/admin/impact/page.tsx",238,Link,True,True,False,False
"app/(app)/admin/impact/quadrant/[quadrant]/page.tsx",133,Link,True,True,False,False
"app/(app)/admin/impact/quadrant/[quadrant]/page.tsx",170,Link,True,True,False,False
"app/(app)/admin/mapping/aliases/page.tsx",163,button,True,False,False,False
"app/(app)/admin/mapping/dealer-codes/confirm/page.tsx",254,button,True,False,False,False
"app/(app)/admin/mapping/dealer-codes/confirm/page.tsx",362,button,False,False,False,False
"app/(app)/admin/mapping/dealer-codes/confirm/page.tsx",373,Link,False,False,False,False
"app/(app)/admin/mapping/dealer-codes/lock/page.tsx",134,button,False,False,False,False
"app/(app)/admin/mapping/dealer-codes/lock/page.tsx",190,Link,False,False,False,False
"app/(app)/admin/mapping/dealer-codes/lock/page.tsx",217,Link,False,False,False,False
"app/(app)/admin/mapping/dealer-codes/op-code/page.tsx",170,button,True,False,False,False
"app/(app)/admin/mapping/dealer-codes/op-code/page.tsx",184,Link,False,False,False,False
"app/(app)/admin/mapping/dealer-codes/page.tsx",162,Link,False,False,False,False
"app/(app)/admin/mapping/dealer-codes/page.tsx",243,Link,False,False,False,False
"app/(app)/admin/mapping/dealer-codes/page.tsx",263,Link,False,False,False,False
"app/(app)/admin/mapping/dealer-codes/page.tsx",267,Link,False,False,False,False
"app/(app)/admin/mapping/dealer-codes/page.tsx",519,button,False,False,False,False
"app/(app)/admin/mapping/dealer-codes/page.tsx",528,Link,False,False,False,False
"app/(app)/admin/mapping/dealer-codes/page.tsx",738,button,False,False,False,False
"app/(app)/admin/mapping/dealer-codes/page.tsx",746,Link,False,False,False,False
"app/(app)/admin/mapping/dealer-codes/page.tsx",757,Link,False,False,False,False
"app/(app)/admin/mapping/dealer-codes/page.tsx",856,Link,False,False,False,False
"app/(app)/admin/mapping/families/confirm/page.tsx",169,button,True,False,False,False
