video_id,video_title,voice,canonical_filename,best_quote_id,best_quote_text,score,tier,runner_up_quote_id,runner_up_score,flag,decision
0407e024-a8fe-437a-a333-07353487d630,"Planted, Not Buried",Mitch Hardt,"MINDSET — Planted, Not Buried — v1.mov",,,,none,,,none,
041268c6-8823-49d0-888d-37e64c791220,I Do It Anyways,Mitch Hardt,MINDSET — I Do It Anyways — v1.mov,,,,none,,,none,
06ca8eaf-79df-4095-88d1-4a6f7fd54abb,Lazy People vs. Winners,Mitch Hardt,MINDSET — Lazy People vs. Winners — v1.mov,,,,none,,,none,
0b630f0c-856f-43a8-8d5e-12e656ad0e2d,Where Are You Living?,Mitch Hardt,MINDSET — Where Are You Living? — v1.mov,,,,none,,,none,
15d25cd8-5419-48b0-844b-7ac29db7eb6b,Hard Worker vs. Working Hard,Mitch Hardt,MINDSET — Hard Worker vs. Working Hard — v1.mov,,,,none,,,none,
160bcb52-c4ea-4fa0-b39c-cd0fdaa13a65,This Too Shall Pass,Mitch Hardt,MINDSET — This Too Shall Pass — v1.mov,,,,none,,,none,
1aae242a-9082-4754-8c9f-ca9b929921c6,Be the Reason Someone Believes,Mitch Hardt,MINDSET — Be the Reason Someone Believes — v1.mov,,,,none,,,none,
1e113952-a332-4284-862e-193ae05dbeb8,"Happy Kid, Happier Manager",Mitch Hardt,"MINDSET — Happy Kid, Happier Manager — v1.mov",Q0309,The most underrated management skill is knowing when to do nothing. Don't try to make a happy kid happier.,0.750,C,Q0224,0.750,none,
1fa69385-ce6b-490e-b5f0-0e582e9fe828,Fearful When Others Are Greedy,Warren Buffett,MINDSET — Fearful When Others Are Greedy (Buffett) — v1.mov,Q0486,Be fearful when others are greedy. Be greedy when others are fearful.,1.000,A,,,none,
20290192-36ae-4d72-9e70-626b38dd83f1,"Don't Quit, Someone Needs Who You're Becoming",Mitch Hardt,"MINDSET — Don't Quit, Someone Needs Who You're Becoming — v1.mov",,,,none,,,none,
26f68ccd-cdd9-4a7b-a547-76e0770e9ee9,The Biggest Mistake in Life,Mitch Hardt,MINDSET — The Biggest Mistake in Life — v1.mov,,,,none,,,none,
2b1d3bb6-2562-4e4b-bb93-8dd9bf0e158c,Demand Excellence,Kobe Bryant,MINDSET — Demand Excellence (Kobe) — v1.mov,Q0072,Demand excellence from YOURSELF.,1.000,A,Q0106,1.000,none,
2f480703-8697-417c-8f0b-98750a99f3e2,The Man in the Glass,Mitch Hardt,MINDSET — The Man in the Glass — v1.mov,,,,none,,,none,
3447a746-5f14-4ac0-b63b-af9749ca7a91,Amateur vs. Professional,Mitch Hardt,MINDSET — Amateur vs. Professional — v1.mov,,,,none,,,none,
392bee05-aa41-40b3-a11e-8f3bcc257393,Today Is the Tomorrow You Were Worried About,Mitch Hardt,MINDSET — Today Is the Tomorrow You Were Worried About — v1.mov,,,,none,,,none,
4701a64c-61a5-40b1-b254-443dce8c5e8d,Four Things You Can't Get Back,Mitch Hardt,MINDSET — Four Things You Can't Get Back — v1.mov,,,,none,,,none,
4961a7af-948b-4896-92ec-8602059126c5,You Are Not Tired,Kobe Bryant,MINDSET — You Are Not Tired (Kobe) — v1.mov,Q0066,You are not tired. You are undisciplined.,1.000,A,,,none,
4b9bc0d6-48fa-4e36-b4d7-cf00a023571f,The Moment You Feel Comfortable,Kobe Bryant,MINDSET — The Moment You Feel Comfortable (Kobe) — v1.mov,,,,none,,,none,
4bb67043-850a-471f-8b3c-982f1dd7f581,Compare Yourself to Yesterday,Mitch Hardt,MINDSET — Compare Yourself to Yesterday — v1.mov,Q0183,I don't compare myself to others. The only person I compare myself to is the person I was yesterday.,0.667,C,,,none,
51e9507b-092b-40a5-ba65-4fe8c5ce3f3f,"Work Hard in the Dark, Shine in the Light",Kobe Bryant,"MINDSET — Work Hard in the Dark, Shine in the Light (Kobe) — v1.mov",Q0095,You have to work hard in the dark to shine in the light.,1.000,B,Q0063,1.000,none,
55ca4cc8-3238-4ee9-ab2a-6e9e62c023e0,You Don't Lose When You Get Knocked Down,Mitch Hardt,MINDSET — You Don't Lose When You Get Knocked Down — v1.mov,,,,none,,,none,
5bb17681-a1ec-4989-9552-e66908e9a2d4,WIN: What's Important Now,Lou Holtz,MINDSET — WIN: What's Important Now (Lou Holtz) — v1.mov,Q0141,"Ask yourself what's important now — because it'll evaluate the past, focus on the future, and tell you what you have to ",0.750,C,Q0142,0.750,none,
5e111343-8126-41fe-ac5b-1234cebd5b4c,Perfect Practice Makes Perfect,Mitch Hardt,MINDSET — Perfect Practice Makes Perfect — v1.mov,Q0205,Practice doesn't make perfect. Perfect practice makes perfect.,1.000,A,Q0285,1.000,none,
62b4b3d2-453c-4337-b29d-2ad53b3a0c75,Hang With People Better Than You,Warren Buffett,MINDSET — Hang With People Better Than You (Buffett) — v1.mov,Q0475,"It's better to hang out with people better than you. Pick out associates whose behavior is better than yours, and you'll",1.000,B,,,none,
